,Date,Flight number,From,Iata_from,From_lat,From_lon,To,Iata_to,To_lat,To_lon,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
216,2024-11-12,KL1475,Amsterdam / Schiphol (AMS/EHAM),AMS,52.3086,4.76389,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,09:35:00,11:30:00,01:55:00,KLM Cityhopper (WA/KLC),Embraer Embraer E195-E2 (E295),,,0,0,0,,122,2027,439,2147
217,2024-10-29,VN593,Hong Kong / Hong Kong International (HKG/VHHH),HKG,22.3089,113.915,Hanoi / Noibai (HAN/VVNB),HAN,21.2212,105.807,14:30:00,15:40:00,02:10:00,Vietnam Airlines (VN/HVN),Airbus A321-200 (A321),,,0,0,0,,1135,1094,366,2076
218,2024-10-29,VN843,Hanoi / Noibai (HAN/VVNB),HAN,21.2212,105.807,Siem Reap / Siem Reap Angkor International Airport (SAI/VDSA),SAI,13.369167,104.223056,17:50:00,19:40:00,01:50:00,Vietnam Airlines (VN/HVN),Airbus A321-200 (A321),,,0,0,0,,1094,9957,366,2076
219,2024-11-02,FD611,Siem Reap / Siem Reap Angkor International Airport (SAI/VDSA),SAI,13.369167,104.223056,Bangkok / Don Mueang International (DMK/VTBD),DMK,13.9126,100.607,11:45:00,13:00:00,01:15:00,Thai AirAsia (FD/AIQ),Airbus A320-200 (A320),,,0,0,0,,9957,3565,1077,2059
220,2024-11-05,TR609,Bangkok / Suvarnabhumi (BKK/VTBS),BKK,13.6811,100.747,Singapore / Changi (SIN/WSSS),SIN,1.35019,103.994,09:30:00,12:55:00,02:25:00,Scoot (TR/TGW),Boeing 787-9 (B789),,,0,0,0,,331,2672,2695,2088
221,2024-11-08,KL835,Singapore / Changi (SIN/WSSS),SIN,1.35019,103.994,Denpasar Bali / Ngurah Rai (DPS/WADD),DPS,-8.74817,115.167,17:45:00,20:30:00,02:45:00,KLM Royal Dutch Airlines (KL/KLM),Boeing 777-300ER (B77W),,11K,1,4,0,,2672,3582,440,2023
222,2025-01-17,AF1401,Madrid / Barajas (MAD/LEMD),MAD,40.4719,-3.56264,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,06:00:00,08:20:00,02:20:00,Air France (AF/AFR),Airbus A321-200 (A321),,,0,0,0,,1739,509,34,2076
223,2025-01-17,MU554,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Shanghai / Pudong (PVG/ZSPD),PVG,31.1434,121.805,12:25:00,07:00:00,11:35:00,China Eastern Airlines (MU/CES),Boeing 777-300ER (B77W),,,0,0,0,,509,3653,178,2023
224,2025-01-18,MU5623,Shanghai / Pudong (PVG/ZSPD),PVG,31.1434,121.805,Dalian / Zhoushuizi (DLC/ZYTL),DLC,38.9657,121.539,08:25:00,10:20:00,01:55:00,China Eastern Airlines (MU/CES),Airbus A319neo (A19N),,,0,0,0,,3653,720,178,2126
225,2025-02-16,MU5626,Dalian / Zhoushuizi (DLC/ZYTL),DLC,38.9657,121.539,Shanghai / Pudong (PVG/ZSPD),PVG,31.1434,121.805,16:50:00,18:45:00,01:55:00,China Eastern Airlines (MU/CES),Airbus A320-200 (A320),,,0,0,0,,720,3653,178,2059
226,2025-02-16,AF111,Shanghai / Pudong (PVG/ZSPD),PVG,31.1434,121.805,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,22:15:00,06:00:00,14:45:00,Air France (AF/AFR),Boeing 777-300ER (B77W),,,0,0,0,,3653,509,34,2023
227,2025-02-17,AF1622,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Munich / Franz Josef Strauss (MUC/EDDM),MUC,48.3538,11.7861,13:05:00,14:40:00,01:35:00,HOP! (A5/HOP),Embraer ERJ-190 (E190),,,0,0,0,,509,1952,1892,655
228,2025-02-17,AF1823,Munich / Franz Josef Strauss (MUC/EDDM),MUC,48.3538,11.7861,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,17:55:00,19:40:00,01:45:00,Air France (AF/AFR),Airbus A220-300 (BCS3),,,0,0,0,,1952,509,34,2142
229,2025-02-17,AF7312,Paris / Charles de Gaulle (CDG/LFPG),CDG,49.0097,2.54778,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,21:10:00,22:45:00,01:35:00,Air France (AF/AFR),Airbus A320-200 (A320),,,0,0,0,,509,2027,34,2059
230,2025-01-16,AZ345,Nice / Nice Cote D'Azur (NCE/LFMN),NCE,43.6584,7.21587,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,15:20:00,16:30:00,01:10:00,ITA Airways (AZ/ITY),Airbus A320neo (A20N),,,0,0,0,,2027,872,2967,2127
231,2025-01-16,AZ64,Rome / Leonardo da Vinci-Fiumicino (FCO/LIRF),FCO,41.8003,12.2389,Madrid / Barajas (MAD/LEMD),MAD,40.4719,-3.56264,21:25:00,23:59:00,02:34:00,ITA Airways (AZ/ITY),Airbus A320neo (A20N),,,0,0,0,,872,1739,2967,2127
232,2024-11-11,GA409,Denpasar Bali / Ngurah Rai (DPS/WADD),DPS,-8.74817,115.167,Jakarta / Soekarno Hatta (CGK/WIII),CGK,-6.12556,106.656,13:45:00,14:45:00,02:00:00,Garuda Indonesia (GA/GIA),Airbus A330-200 (A332),,,0,0,0,,3582,534,327,30
